-----------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/juangesino/Documents/UvA/Year 2/Semester 1/Period 2/Econometrics/CS/C
> E1/ce1.log
  log type:  text
 opened on:  21 Feb 2019, 06:28:49

. use caschool

. list testscr str

     +--------------------+
     | testscr        str |
     |--------------------|
  1. |   690.8   17.88991 |
  2. |   661.2   21.52466 |
  3. |   643.6   18.69723 |
  4. |   647.7   17.35714 |
  5. |  640.85   18.67133 |
     |--------------------|
  6. |  605.55   21.40625 |
  7. |  606.75       19.5 |
  8. |     609   20.89412 |
  9. |   612.5   19.94737 |
 10. |  612.65   20.80556 |
     |--------------------|
 11. |  615.75   21.23809 |
 12. |   616.3         21 |
 13. |   616.3       20.6 |
 14. |   616.3   20.00822 |
 15. |  616.45   18.02778 |
     |--------------------|
 16. |  617.35   20.25196 |
 17. |  618.05   16.97787 |
 18. |   618.3    16.5098 |
 19. |   619.8   22.70402 |
 20. |   620.3   19.91111 |
     |--------------------|
 21. |   620.5   18.33333 |
 22. |   621.4   22.61905 |
 23. |  621.75   19.44828 |
 24. |  622.05   25.05263 |
 25. |   622.6   20.67544 |
     |--------------------|
 26. |   623.1   18.68235 |
 27. |   623.2   22.84553 |
 28. |  623.45   19.26667 |
 29. |   623.6      19.25 |
 30. |  624.15   20.54545 |
     |--------------------|
 31. |  624.55   20.60697 |
 32. |  624.95   21.07268 |
 33. |   625.3   21.53581 |
 34. |  625.85     19.904 |
 35. |   626.1   21.19407 |
     |--------------------|
 36. |   626.8   21.86535 |
 37. |   626.9   18.32965 |
 38. |   627.1   16.22857 |
 39. |  627.25   19.17857 |
 40. |   627.3   20.27737 |
     |--------------------|
 41. |  628.25   22.98614 |
 42. |   628.4   20.44444 |
 43. |  628.55   19.82085 |
 44. |  628.65   23.20522 |
 45. |  628.75   19.26697 |
     |--------------------|
 46. |   629.8   23.30189 |
 47. |  630.35   21.18829 |
 48. |   630.4    20.8718 |
 49. |  630.55   19.01749 |
 50. |  630.55   21.91938 |
     |--------------------|
 51. |  631.05   20.10124 |
 52. |   631.4   21.47651 |
 53. |  631.85   20.06579 |
 54. |   631.9    20.3751 |
 55. |  631.95   22.44648 |
     |--------------------|
 56. |     632   22.89524 |
 57. |   632.2   20.49797 |
 58. |  632.25         20 |
 59. |  632.45   22.25658 |
 60. |  632.85   21.56436 |
     |--------------------|
 61. |  632.95   19.47737 |
 62. |  633.05   17.67002 |
 63. |  633.15   21.94756 |
 64. |  633.65   21.78339 |
